frame_indexes,detected_coordinates,frog_id_kmm,frog_id_gmm,frog_id_dbscan
0,"(103.0, 422.0)",0,4,0
1,"(130.0, 422.0)",0,4,0
2,"(129.0, 402.0)",0,4,0
3,"(130.0, 402.0)",0,4,0
4,"(131.0, 401.0)",0,4,0
5,"(130.0, 402.0)",0,4,0
6,"(122.0, 414.0)",0,4,0
7,"(110.0, 422.0)",0,4,0
8,"(110.0, 422.0)",0,4,0
9,"(112.0, 422.0)",0,4,0
10,"(129.0, 421.0)",0,4,0
11,"(129.0, 421.0)",0,4,0
12,"(150.0, 403.0)",0,0,0
13,"(131.0, 402.0)",0,4,0
14,"(129.0, 422.0)",0,4,0
15,"(108.0, 422.0)",0,4,0
16,"(88.0, 441.0)",0,4,0
17,"(108.0, 422.0)",0,4,0
18,"(108.0, 422.0)",0,4,0
19,"(131.0, 418.0)",0,4,0
20,"(170.0, 401.0)",0,0,0
21,"(172.0, 400.0)",0,0,0
22,"(172.0, 401.0)",0,0,0
23,"(171.0, 418.0)",0,0,0
24,"(171.0, 422.0)",0,0,0
25,"(191.0, 462.0)",0,0,0
26,"(192.0, 463.0)",0,0,0
27,"(190.0, 463.0)",0,0,0
28,"(153.0, 441.0)",0,0,0
29,"(131.0, 421.0)",0,4,0
30,"(130.0, 402.0)",0,4,0
31,"(128.0, 417.0)",0,4,0
32,"(109.0, 422.0)",0,4,0
33,"(108.0, 442.0)",0,4,0
34,"(110.0, 442.0)",0,4,0
35,"(100.0, 442.0)",0,4,0
36,"(110.0, 443.0)",0,4,0
37,"(151.0, 423.0)",0,0,0
38,"(170.0, 420.0)",0,0,0
39,"(171.0, 402.0)",0,0,0
40,"(151.0, 401.0)",0,0,0
41,"(170.0, 400.0)",0,0,0
42,"(151.0, 401.0)",0,0,0
43,"(129.0, 421.0)",0,4,0
44,"(109.0, 422.0)",0,4,0
45,"(131.0, 443.0)",0,4,0
46,"(171.0, 443.0)",0,0,0
47,"(191.0, 444.0)",0,0,0
48,"(192.0, 442.0)",0,0,0
49,"(152.0, 421.0)",0,0,0
50,"(130.0, 421.0)",0,4,0
51,"(91.0, 422.0)",0,4,0
52,"(89.0, 423.0)",0,4,0
53,"(89.0, 441.0)",0,4,0
54,"(102.0, 434.0)",0,4,0
55,"(151.0, 420.0)",0,0,0
56,"(171.0, 401.0)",0,0,0
57,"(171.0, 401.0)",0,0,0
58,"(169.0, 401.0)",0,0,0
59,"(151.0, 401.0)",0,0,0
60,"(151.0, 402.0)",0,0,0
61,"(141.0, 421.0)",0,4,0
62,"(129.0, 422.0)",0,4,0
63,"(112.0, 442.0)",0,4,0
64,"(110.0, 440.0)",0,4,0
65,"(110.0, 441.0)",0,4,0
66,"(110.0, 422.0)",0,4,0
67,"(151.0, 441.0)",0,0,0
68,"(151.0, 439.0)",0,0,0
69,"(150.0, 442.0)",0,0,0
70,"(129.0, 442.0)",0,4,0
71,"(111.0, 442.0)",0,4,0
72,"(94.0, 442.0)",0,4,0
73,"(130.0, 422.0)",0,4,0
74,"(173.0, 402.0)",0,0,0
75,"(183.0, 401.0)",0,0,0
76,"(170.0, 402.0)",0,0,0
77,"(152.0, 402.0)",0,0,0
78,"(150.0, 401.0)",0,0,0
79,"(150.0, 401.0)",0,0,0
80,"(131.0, 402.0)",0,4,0
81,"(872.0, 360.0)",3,1,-1
82,"(852.0, 360.0)",3,1,-1
83,"(440.0, 380.0)",1,3,1
84,"(150.0, 441.0)",0,0,0
85,"(129.0, 422.0)",0,4,0
86,"(108.0, 423.0)",0,4,0
87,"(108.0, 423.0)",0,4,0
88,"(89.0, 422.0)",0,4,0
89,"(95.0, 425.0)",0,4,0
90,"(89.0, 441.0)",0,4,0
91,"(111.0, 442.0)",0,4,0
92,"(149.0, 443.0)",0,0,0
93,"(156.0, 443.0)",0,0,0
94,"(189.0, 422.0)",0,0,0
95,"(172.0, 402.0)",0,0,0
96,"(171.0, 401.0)",0,0,0
97,"(170.0, 401.0)",0,0,0
98,"(152.0, 401.0)",0,0,0
99,"(416.0, 380.0)",1,3,1
100,"(438.0, 379.0)",1,3,1
101,"(873.0, 361.0)",3,1,-1
102,"(853.0, 361.0)",3,1,-1
103,"(129.0, 421.0)",0,4,0
104,"(130.0, 402.0)",0,4,0
105,"(125.0, 422.0)",0,4,0
106,"(111.0, 421.0)",0,4,0
107,"(111.0, 424.0)",0,4,0
108,"(111.0, 421.0)",0,4,0
109,"(123.0, 403.0)",0,4,0
110,"(170.0, 401.0)",0,0,0
110,"(521.0, 361.0)",1,3,1
111,"(441.0, 380.0)",1,3,1
112,"(439.0, 380.0)",1,3,1
113,"(192.0, 381.0)",0,0,0
114,"(191.0, 382.0)",0,0,0
115,"(172.0, 402.0)",0,0,0
116,"(191.0, 421.0)",0,0,0
117,"(171.0, 422.0)",0,0,0
118,"(153.0, 448.0)",0,0,0
119,"(995.0, 380.0)",4,1,2
120,"(979.0, 380.0)",4,1,2
121,"(995.0, 380.0)",4,1,2
122,"(1015.0, 380.0)",4,1,2
123,"(110.0, 421.0)",0,4,0
124,"(99.0, 422.0)",0,4,0
125,"(105.0, 422.0)",0,4,0
126,"(105.0, 422.0)",0,4,0
127,"(130.0, 439.0)",0,4,0
128,"(440.0, 375.0)",1,3,1
129,"(172.0, 421.0)",0,0,0
130,"(173.0, 402.0)",0,0,0
131,"(202.0, 397.0)",0,0,0
