frame_indexes,detected_coordinates,frog_id_kmm,frog_id_gmm,frog_id_dbscan
0,"(316.0, 360.0)",1,0,0
0,"(114.0, 402.0)",0,3,0
1,"(75.0, 423.0)",0,3,0
2,"(90.0, 439.0)",0,3,0
3,"(89.0, 439.0)",0,3,0
4,"(88.0, 422.0)",0,3,0
5,"(88.0, 422.0)",0,3,0
6,"(89.0, 421.0)",0,3,0
7,"(157.0, 401.0)",0,3,0
8,"(171.0, 399.0)",0,3,0
9,"(152.0, 381.0)",0,3,0
10,"(872.0, 380.0)",3,1,-1
10,"(151.0, 381.0)",0,3,0
11,"(500.0, 364.0)",1,4,0
12,"(488.0, 375.0)",1,4,0
13,"(479.0, 361.0)",1,4,0
14,"(440.0, 379.0)",1,4,0
15,"(336.0, 380.0)",1,0,0
16,"(316.0, 379.0)",1,0,0
17,"(335.0, 364.0)",1,4,0
18,"(337.0, 361.0)",1,4,0
19,"(336.0, 360.0)",1,4,0
20,"(336.0, 361.0)",1,4,0
21,"(357.0, 360.0)",1,4,0
22,"(68.0, 422.0)",0,3,0
23,"(68.0, 422.0)",0,3,0
24,"(81.0, 422.0)",0,3,0
25,"(109.0, 401.0)",0,3,0
26,"(150.0, 381.0)",0,3,0
27,"(171.0, 381.0)",0,3,0
28,"(170.0, 399.0)",0,3,0
29,"(130.0, 402.0)",0,3,0
30,"(110.0, 422.0)",0,3,0
31,"(110.0, 422.0)",0,3,0
32,"(109.0, 440.0)",0,3,0
33,"(109.0, 442.0)",0,3,0
34,"(109.0, 423.0)",0,3,0
35,"(729.0, 461.0)",2,6,1
36,"(727.0, 504.0)",2,6,1
37,"(708.0, 505.0)",2,6,1
38,"(706.0, 524.0)",2,2,1
39,"(69.0, 421.0)",0,3,0
40,"(68.0, 422.0)",0,3,0
41,"(68.0, 422.0)",0,3,0
42,"(69.0, 421.0)",0,3,0
43,"(89.0, 402.0)",0,3,0
44,"(129.0, 401.0)",0,3,0
45,"(151.0, 382.0)",0,3,0
46,"(193.0, 380.0)",0,0,0
47,"(213.0, 380.0)",0,0,0
48,"(235.0, 379.0)",0,0,0
49,"(193.0, 380.0)",0,0,0
50,"(810.0, 380.0)",3,1,2
51,"(851.0, 380.0)",3,1,-1
51,"(110.0, 402.0)",0,3,0
52,"(91.0, 422.0)",0,3,0
53,"(88.0, 441.0)",0,3,0
54,"(89.0, 442.0)",0,3,0
55,"(88.0, 442.0)",0,3,0
56,"(707.0, 523.0)",2,2,1
57,"(69.0, 441.0)",0,3,0
57,"(707.0, 525.0)",2,2,1
58,"(81.0, 440.0)",0,3,0
59,"(75.0, 421.0)",0,3,0
60,"(107.0, 401.0)",0,3,0
61,"(130.0, 382.0)",0,3,0
62,"(171.0, 381.0)",0,3,0
63,"(192.0, 381.0)",0,0,0
64,"(210.0, 381.0)",0,0,0
65,"(234.0, 381.0)",0,0,0
66,"(809.0, 380.0)",3,1,2
67,"(379.0, 361.0)",1,4,0
68,"(378.0, 379.0)",1,4,0
69,"(954.0, 381.0)",4,1,6
70,"(728.0, 505.0)",2,6,1
71,"(728.0, 524.0)",2,6,1
72,"(725.0, 524.0)",2,6,1
73,"(705.0, 524.0)",2,2,1
74,"(108.0, 421.0)",0,3,0
75,"(89.0, 422.0)",0,3,0
76,"(88.0, 422.0)",0,3,0
77,"(88.0, 422.0)",0,3,0
78,"(109.0, 401.0)",0,3,0
78,"(316.0, 361.0)",1,0,0
79,"(294.0, 361.0)",1,0,0
80,"(275.0, 377.0)",0,0,0
81,"(254.0, 380.0)",0,0,0
82,"(193.0, 380.0)",0,0,0
83,"(851.0, 380.0)",3,1,-1
